phrase;font_family;size;color_hex;style_tag;overrides
15;HypatiaSansPro;11;#ec008c;bold;
3;HelveticaNeueLTStd;11.6767;#ffffff;regular;
Recopie les phrases qui;HypatiaSansPro;13;#231f20;bold;
contiennent le même verbe.;HypatiaSansPro;13;#231f20;bold;
a. Je regarde un album avant de;HypatiaSansPro;13;#231f20;regular;a.|HypatiaSansPro|13|#ec008c|bold
m’endormir.;HypatiaSansPro;13;#231f20;regular;
b. Nicolas observe les étoiles.;HypatiaSansPro;13;#231f20;regular;b.|HypatiaSansPro|13|#ec008c|bold
c. Ma mère regarde un documentaire à la;HypatiaSansPro;13;#231f20;regular;c.|HypatiaSansPro|13|#ec008c|bold
télévision.;HypatiaSansPro;13;#231f20;regular;
d. Nous regardons un film le samedi soir.;HypatiaSansPro;13;#231f20;regular;d.|HypatiaSansPro|13|#ec008c|bold
e. Il a un regard triste.;HypatiaSansPro;13;#231f20;regular;e.|HypatiaSansPro|13|#ec008c|bold
f. Elle a vu ce nouveau film hier.;HypatiaSansPro;13;#231f20;regular;f.|HypatiaSansPro|13|#ec008c|bold
4;HelveticaNeueLTStd;11.6767;#ffffff;regular;
Relève tous les verbes du texte.;HypatiaSansPro;13;#231f20;bold;
Le chat fait sa toilette plusieurs fois par;HypatiaSansPro;13;#231f20;regular;
jour. Il lèche ses pattes longuement et frotte;HypatiaSansPro;13;#231f20;regular;
ses oreilles plusieurs fois. Puis il nettoie le;HypatiaSansPro;13;#231f20;regular;
reste de son pelage. Il n’aime pas qu’on le;HypatiaSansPro;13;#231f20;regular;
dérange pendant cette opération. Ensuite, il;HypatiaSansPro;13;#231f20;regular;
dévore ses croquettes !;HypatiaSansPro;13;#231f20;regular;
5 Remplace les verbes en gras par;HypatiaSansPro;13;#231f20;bold;5 |HelveticaNeueLTStd|11.6767|#ffffff|regular||un||0|#000000|regular
un verbe de la liste.;HypatiaSansPro;13;#231f20;bold;
se repose reste s’abrite perd;HypatiaSansPro;13;#231f20;regular;
a. La couleuvre se protège du froid sous un;HypatiaSansPro;13;#231f20;regular;a.|HypatiaSansPro|13|#ec008c|bold||se|HypatiaSansPro|13|#231f20|bold||protège|HypatiaSansPro|13|#231f20|bold
rocher.;HypatiaSansPro;13;#231f20;regular;
b. Elle dort tout l’hiver.;HypatiaSansPro;13;#231f20;regular;b.|HypatiaSansPro|13|#ec008c|bold||dort|HypatiaSansPro|13|#231f20|bold
c. L’été, elle passe des heures au soleil.;HypatiaSansPro;13;#231f20;regular;c.|HypatiaSansPro|13|#ec008c|bold||passe|HypatiaSansPro|13|#231f20|bold
d. La couleuvre abandonne sa peau sept;HypatiaSansPro;13;#231f20;regular;d.|HypatiaSansPro|13|#ec008c|bold||abandonne|HypatiaSansPro|13|#231f20|bold||fois|HypatiaSansPro|13|#ec008c|bold
fois par an.;HypatiaSansPro;13;#231f20;regular;
Parmi les mots proposés, choisis celui;HypatiaSansPro;13;#231f20;bold;
qui te permettra de construire;HypatiaSansPro;13;#231f20;bold;
une phrase. Explique ton choix.;HypatiaSansPro;13;#231f20;bold;
grise petit mange il;HypatiaSansPro;13;#231f20;regular;
Le chat … la souris.;HypatiaSansPro;13;#231f20;regular;
Défi langue;FrankfurterSHOP;10;#ffffff;medium;
Il y a 7 verbes.;HypatiaSansPro;11;#231f20;bold;
Utiliser le verbe;FrankfurterSHOP;11;#ffffff;medium;
10;HelveticaNeueLTStd;11.6767;#ffffff;regular;
C’est un jour d’école. Écris ce que;HypatiaSansPro;13;#231f20;bold;
Pauline fait le matin avant de partir.;HypatiaSansPro;13;#231f20;bold;
6 Recopie les phrases avec le verbe.;HypatiaSansPro;13;#231f20;bold;6 |HelveticaNeueLTStd|11.6767|#ffffff|regular||a.||0|#000000|regular
a. Le chat (miaule • miaulement) .;HypatiaSansPro;13;#231f20;regular;a.|HypatiaSansPro|13|#ec008c|bold
b. Le chien (aboiement • aboie) .;HypatiaSansPro;13;#231f20;regular;b.|HypatiaSansPro|13|#ec008c|bold
c. Le lion (rugissement • rugit) .;HypatiaSansPro;13;#231f20;regular;c.|HypatiaSansPro|13|#ec008c|bold
d. La vache (meugle • meuglement) .;HypatiaSansPro;13;#231f20;regular;d.|HypatiaSansPro|13|#ec008c|bold
7 Écris une phrase pour décrire;HypatiaSansPro;13;#231f20;bold;7 |HelveticaNeueLTStd|11.6767|#ffffff|regular
chaque photographie.;HypatiaSansPro;13;#231f20;bold;
8;HelveticaNeueLTStd;11.6767;#ffffff;regular;
Place chaque verbe en gras au bon;HypatiaSansPro;13;#231f20;bold;
endroit dans chaque phrase.;HypatiaSansPro;13;#231f20;bold;
a. se lève ➞ L’été, le jour tôt.;HypatiaSansPro;13;#231f20;regular;endroit|HypatiaSansPro|13|#231f20|bold||dans|HypatiaSansPro|13|#231f20|bold||a.|HypatiaSansPro|13|#ec008c|bold||se|HypatiaSansPro|13|#231f20|bold||lève|HypatiaSansPro|13|#231f20|bold||➞|ZapfDingbatsStd|12|#8dc63f|regular
b. attendent ➞ Les pêcheurs patiemment;HypatiaSansPro;13;#231f20;regular;b.|HypatiaSansPro|13|#ec008c|bold||attendent|HypatiaSansPro|13|#231f20|bold||➞|ZapfDingbatsStd|12|#8dc63f|regular||que|HypatiaSansPro|13|#ec008c|bold||les|HypatiaSansPro|13|#231f20|bold||poissons|HypatiaSansPro|13|#231f20|bold
que les poissons mordent à l’hameçon.;HypatiaSansPro;13;#231f20;regular;
c. mange ➞ Je tous les midis à la cantine.;HypatiaSansPro;13;#231f20;regular;c.|HypatiaSansPro|13|#ec008c|bold||mange|HypatiaSansPro|13|#231f20|bold||➞|ZapfDingbatsStd|12|#8dc63f|regular
9 À l'oral;HypatiaSansPro;12;#a4258f;bold;9 |HelveticaNeueLTStd|11.6767|#ffffff|regular
Raconte à un-e;HypatiaSansPro;13;#231f20;bold;
camarade le moment que tu préfères;HypatiaSansPro;13;#231f20;bold;
dans la journée.;HypatiaSansPro;13;#231f20;bold;
q;HypatiaSansPro;13.0315;#231f20;bold;
p;HypatiaSansPro;13.0315;#231f20;bold;
g;HypatiaSansPro;13.0315;#231f20;bold;
p;HypatiaSansPro;13.0315;#231f20;bold;
a.;HypatiaSansPro;13.0315;#ec038c;bold;
b.;HypatiaSansPro;13.0315;#ec038c;bold;
c.;HypatiaSansPro;13.0315;#ec038c;bold;
9782210505377_001-144.indb 15;Helvetica;6;#000000;regular;
28/03/2019 12:17;Helvetica;6;#000000;regular;
